Year,Death_percent_asthma,Illness_crude_rate_asthma,Death_percent_asthma_lower,Illness_crude_rate_asthma_lower,Death_percent_asthma_upper,Illness_crude_rate_asthma_upper,Smoke_Estimate,Death_percent_copd,Illness_crude_rate_copd,Death_percent_copd_lower,Illness_crude_rate_copd_lower,Death_percent_copd_upper,Illness_crude_rate_copd_upper,Cases_tb,Death_percent_tb,Cases_tb_lower,Death_percent_tb_lower,Cases_tb_upper,Death_percent_tb_upper
2023,0.0012672803814159337,14.850782107950174,0.0011552858920903049,12.852299807483693,0.0013792748707415626,16.849264408416655,33.20742215719656,0.05749043305341609,13.819277608739428,0.05516179271129121,10.70367166779816,0.059819073395540975,16.9348835496807,6.039681546834769,0.00013204404253746704,5.104271161833407,0.00012407974410837851,6.975091931836132,0.00014000834096655556
2024,0.0013463410159939987,12.32386557727331,0.0011456726799741294,9.228616641310744,0.001547009352013868,15.419114513235874,34.44783467155503,0.059248897089998344,19.062377132907425,0.05608173401401445,15.118995741537447,0.06241606016598224,23.005758524277404,6.4116292869659155,0.0001302705420940163,5.380702626410548,0.00011597112838247276,7.442555947521282,0.00014456995580555988
2025,0.0014352013766983991,13.345908340388192,0.0011808818608761427,9.80131515359945,0.0016895208925206556,16.89050152717693,35.711001396026404,0.05865828895204386,20.44863830384826,0.05489611271787569,14.057888815421347,0.062420465186212026,26.83938779227517,6.356477609660611,0.0001326569678718431,5.062633162747499,9.985096203048831e-05,7.6503220565737236,0.00016546297371319784
2026,0.001535279693800183,15.386585385085814,0.0012346013801452017,10.636451976445569,0.0018359580074551643,20.136718793726057,36.99692233062524,0.05984505459528504,22.16467436573281,0.05585764830904015,15.23338832665365,0.06383246088152994,29.095960404811972,6.489421206261876,0.0001366668693762332,4.9712861668898745,9.44666629990567e-05,8.007556245633877,0.0001788670757534097
2027,0.0016248145533710445,17.923733350519004,0.0012877136426577575,11.606186990437301,0.0019619154640843316,24.241279710600708,38.30559747535153,0.06131666898847194,23.367688538104407,0.056845155946145046,16.14642614238823,0.06578818203079884,30.58895093382058,6.681982713890341,0.00014065421668605008,4.753666495015528,8.937999589080728e-05,8.610298932765154,0.00019192843748129287
2028,0.001697771208184555,20.838958780273803,0.0013407938774040668,13.055130432597954,0.002054748538965043,28.62278712794965,39.63702683019801,0.06261650400524066,24.211218799766655,0.05779462500853936,16.882570619814295,0.06743838300194194,31.539866979719015,6.971613514440566,0.0001452747795665535,4.646590305891624,8.664898167131797e-05,9.296636722989508,0.000203900577461789
2029,0.001751917253071177,23.632630381848074,0.001386504993153,14.650056062872755,0.0021173295129893544,32.6152047008234,40.99121039516467,0.0635561081654789,24.77436606308176,0.05857292901145473,17.412486580028954,0.06853928731950307,32.13624554613457,7.316021263892785,0.00015008865875657562,4.562853686829561,8.467295497360836e-05,10.06918884095601,0.00021550436253954286
2030,0.0017867863338864422,26.04271168130929,0.0014192399812460546,16.32032187064009,0.00215433268652683,35.765101491978484,42.36814817025152,0.064200721651057,25.175830225811342,0.05916674028216683,17.806093818942337,0.06923470301994718,32.54556663268035,7.717627633405982,0.00015522853549938828,4.555324267770146,8.379572392171976e-05,10.879930999041818,0.00022666134707705678
2031,0.0018051620828388112,27.949822071295824,0.0014375202936642792,17.86629669313038,0.002172803872013343,38.03334744946126,43.76784015546582,0.06466754409942116,25.498773054955496,0.059622216736592196,18.12760483870428,0.06971287146225011,32.86994127120671,8.160214092121048,0.000160557933467848,4.600056655872729,8.360489488772432e-05,11.720371528369366,0.0002375109720479717
2032,0.0018113359313250465,29.3111430586167,0.0014430091284511725,19.106405108942674,0.0021796627341989206,39.51588100829072,45.19028635079303,0.06505164105448359,25.79198522923029,0.060004590491161164,18.420620532134517,0.07009869161780602,33.16334992632606,8.6399446168132,0.00016608984084934294,4.704511737718301,8.411348928834224e-05,12.5753774959081,0.00024806619241034365
2033,0.0018100533170638752,30.174333269452994,0.001439753694758432,19.954407495024824,0.0021803529393693184,40.39425904388116,46.6354867562477,0.06540814634812328,26.078422380049062,0.06036093984923335,18.707036903273696,0.0704553528470132,33.44980785682443,9.149196444324913,0.00017177381258894867,4.859349108853083,8.51767683684212e-05,13.439043779796743,0.0002583708568094761
2034,0.0018058831151253857,30.64363183395529,0.0014328548485675963,20.417077299035856,0.002178911381683175,40.87018636887473,48.103441371822555,0.06576195545788904,26.366793113189853,0.06071474361412273,18.995405497914675,0.07080916730165537,33.73818072846503,9.684185632474744,0.0001776004491326334,5.062636868985409,8.67544994970496e-05,14.305734395964079,0.0002684463987682172
2035,0.0018026248062016329,30.848385888707504,0.0014269873089102765,20.58188949652149,0.0021782623034929892,41.114882280893525,49.59415019751759,0.06612134321055642,26.65946556597973,0.06107413136443313,19.28807751149032,0.07116855505667971,34.03085362046914,10.240753272007272,0.00018354713006891877,5.309018574679601,8.877720054502944e-05,15.172487969334941,0.00027831705959280805
2036,0.0018029982293108141,30.921076023013732,0.001425469030441503,20.584263675513075,0.0021805274281801253,41.257888370514394,51.10761323333281,0.06648766702738111,26.956678896114294,0.061440455179239954,19.585290616070814,0.07153487887552228,34.328067176157774,10.816168497949032,0.00018960375213247785,5.595192971039335,9.120520278612764e-05,16.03714402485873,0.00028800230147882805
2037,0.0018085711234721745,30.97866859633494,0.0014300049167697932,20.564367703271458,0.0021871373301745557,41.392969489398425,52.64383047927549,0.06686034809553931,27.2582648122548,0.0618131361727896,19.886876394780845,0.07190756001828902,34.62965322972876,11.407975384927129,0.00019575863074509285,5.917411627577028,9.399657801198173e-05,16.89853914227723,0.00029752068347820395
2038,0.0018198492465735672,31.110937723310613,0.0014408957127188997,20.6334865970057,0.0021988027804282348,41.588388849615534,54.20280193533108,0.06723875223768706,27.56413666621049,0.062191540175737,20.192748181960873,0.07228596429963714,34.93552515046011,12.014372482955451,0.0002020046228055387,6.272712494107374,9.712016310928193e-05,17.75603247180353,0.0003068890825017955
2039,0.001836485605998996,31.375736949409117,0.0014574679411379077,20.858945725456493,0.0022155032708600845,41.89252817336174,55.78452760151413,0.06762259112762034,27.874320259669847,0.06257537897000648,20.50293175118939,0.0726698032852342,35.24570876815031,12.633863304663066,0.00020833529578213414,6.6583063460373495,0.00010054736164779867,18.609420263288783,0.0003161232299164696
2040,0.00185754929784569,31.799621237987598,0.001478522505194606,21.265041084116678,0.002236576090496774,42.334201391858514,57.38900747781736,0.06801183000500538,28.188885797874892,0.06296461780888418,20.817497282811416,0.07305904220112656,35.56027431293837,13.265304365178066,0.0002147462420890134,7.071832961349594,0.00010425471539012256,19.458775769006536,0.00032523776878790424
2041,0.0018818012515995249,32.38246609839304,0.001502688545323618,21.843220754363678,0.0022609139578754316,42.9217114424224,59.01624156422622,0.06840653428756753,28.507898190123605,0.06335932208115073,21.136509673724458,0.07345374649398434,35.879286706522755,13.907779260200405,0.00022123393405746653,7.511186730478179,0.00010822153671900779,20.30437178992263,0.0003342463313959253
2042,0.001907939124283322,33.10444526255557,0.0015286547794186357,22.564963838811366,0.002287223469148008,43.64392668629978,60.66622986076982,0.06880677749664757,28.83140005731778,0.06375956528838467,21.46001154072085,0.07385398970491047,36.20278857391471,14.560580385296113,0.00022779590999325684,7.974549569285125,0.00011243018417454946,21.1466112013071,0.0003431616358119642
2043,0.0019347868204800584,33.93379909450498,0.0015552997463321881,23.393053434162372,0.0023142738946279285,44.47454475484757,62.338972367440874,0.06921260928247912,29.159413593501725,0.0641653970740154,21.78802507688426,0.07425982149094285,36.53080211011918,15.22315295860751,0.00023443037038379784,8.460324913169892,0.000116865216663015,21.98598100404513,0.0003519955241045806
2044,0.0019614178048079235,34.83416325832548,0.001581756367462732,24.289527051960114,0.0023410792421531147,45.37879946469085,64.03446908422484,0.06962405485649649,29.49194805652821,0.06457684264802399,22.120559539909213,0.074671267064969,36.86333657314721,15.895070994912253,0.0002411361322996157,8.967123842000987,0.00012151323044271194,22.823018147823518,0.0003607590341565195
