state_code,county_code,site_number,latitude,longitude,parameter_code,validity_indicator,parameter,sample_duration,arithmetic_mean,units_of_measure,date_local,aqi
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,35.0,Micrograms/cubic meter (25 C),1989-07-27,32
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,43.0,Micrograms/cubic meter (25 C),1989-07-29,40
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,58.0,Micrograms/cubic meter (25 C),1989-07-31,52
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,56.0,Micrograms/cubic meter (25 C),1989-08-02,51
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,32.0,Micrograms/cubic meter (25 C),1989-08-04,30
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,15.0,Micrograms/cubic meter (25 C),1989-08-06,14
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,90.0,Micrograms/cubic meter (25 C),1989-08-08,68
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,44.0,Micrograms/cubic meter (25 C),1989-08-10,41
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,53.0,Micrograms/cubic meter (25 C),1989-08-12,49
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,48.0,Micrograms/cubic meter (25 C),1989-08-14,44
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,26.0,Micrograms/cubic meter (25 C),1989-08-16,24
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,42.0,Micrograms/cubic meter (25 C),1989-08-18,39
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,24.0,Micrograms/cubic meter (25 C),1989-08-20,22
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,21.0,Micrograms/cubic meter (25 C),1989-08-22,19
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,26.0,Micrograms/cubic meter (25 C),1989-08-24,24
